v1	v2	v3	v4	v5	v6
63.5	100496	13	67	17	3
34.3	12773	8	28.6	11	4
38.1	25545	11	44.7	14	5
64.1	100496	14	64.1	16	2
42.9	53055	14	64.1	16	5
48.5	35370	12	48.5	15	7
29.2	21615	8	36.5	13	4
50.2	53055	10	86.5	18	0
45.9	35370	16	32.3	12	7
63.5	25545	12	47.6	12	2
34.2	14738	10	50.2	12	5
26.7	25545	12	37.9	15	5
62.5	43230	10	28.2	11	2
32.7	21615	7	31.5	12	3
38.2	43230	10	29.2	12	4
44.7	100496	6	48.9	13	2
52.4	10808	12	37.3	13	2
38.1	7074	6	33.1	14	6
63.5	29475	14	92.3	19	2
63.5	18471	14	50.7	17	2
90.1	43230	16	62.5	20	3
78.8	25545	20	60.3	16	1
34.2	100496	15	92.3	19	4
80	25545	12	54.2	12	1
35.4	16703	12	35.4	9	3
63.2	1572	14	31.4	12	4
33.6	35370	8	63.5	16	1
31.3	29475	12	62	14	4
45.4	1572	12	28.4	12	4
29.4	25545	14	50.7	12	4
51	18471	12	50.7	14	4
34.2	1572	12	34.2	12	3
42.2	12773	8	47	16	4
64.1	43230	9	50.7	14	2
31.5	12773	6	31.5	12	5
35.1	29475	8	59.1	14	2
25.3	14738	10	63.5	12	2
26.7	14738	0	27.2	12	4
42.2	18471	12	43.4	12	2
48.6	35370	13	50.7	16	2
32.3	12773	12	38.1	14	4
36.5	25545	10	50.7	16	2
35.4	100496	16	63.5	18	4
96	100496	17	97.2	18	11
92.3	100496	16	92.3	16	3
29.5	35370	7	86	13	1
65.8	35370	11	92.3	20	3
63.2	14738	14	92.3	15	3
28.6	43230	12	73.6	18	7
22.7	29475	2	53.9	13	4
45.9	29475	19	47	12	3
38.2	43230	12	63.5	16	3
63.5	53055	16	67	18	2
97.2	29475	20	63.5	16	4
86.5	18471	18	80.3	17	3
45.9	35370	12	76.4	19	2
63.5	100496	12	50.7	14	2
63.2	100496	18	90.1	19	3
50.7	21615	12	64.1	14	9
83.9	21615	17	59	16	5
79.9	35370	18	76.4	16	3
29.2	14738	12	37.3	12	4
50.2	12773	12	32	13	6
35.1	29475	12	52.5	12	2
29.9	29475	10	49.4	12	1
33.6	14738	12	30.4	12	2
63.5	29475	18	63.5	17	3
88.8	25545	17	88.8	17	3
29.4	10808	1	29.4	8	2
63.5	18471	14	35.1	12	3
29.2	10808	3	33.1	8	0
36.5	18471	3	32.3	10	3
84.2	43230	20	76.4	18	1
63.5	21615	20	63.5	17	4
49.6	5109	12	32.3	11	4
56.5	16703	12	32.3	14	3
29.8	14738	8	31.5	12	5
75.2	8843	16	34.2	16	7
51	18471	10	65.8	16	1
31.5	12773	9	35.4	9	3
38.1	25545	12	47.6	16	5
32.3	14738	6	50.7	10	10
24.2	10808	3	17.1	12	2
54.7	35370	12	49.6	17	3
92.3	34380	19	83.9	18	4
46.7	8595	16	62.5	16	2
50.7	34380	11	33.3	16	1
80	10505	12	38.4	13	7
65.8	97684	16	92.3	19	2
32.3	42020	8	34.3	12	5
90.8	42020	17	63.5	17	0
63.5	24830	9	63.5	14	3
45.7	51570	12	38.1	12	1
38.2	28650	6	31.3	13	4
34.2	24830	12	34.2	12	3
48.5	14325	12	63.2	15	4
39	28650	12	48.5	16	0
36.5	28650	12	43.3	12	13
38.8	24830	12	52.4	14	1
34.3	28650	12	31.5	12	1
96	34380	20	71.5	15	4
80	34380	16	83.7	18	4
76.4	8595	14	73.9	16	0
50.7	24830	12	22.9	12	0
53.9	2674	12	28.4	15	1
31.5	21010	10	31.5	16	0
63.5	16235	14	63.5	14	4
36.5	24830	12	49.9	14	3
34.2	24830	12	35.4	14	3
27.7	382	8	34.2	12	2
48.9	17954	12	35.1	16	3
67	24830	16	72.5	19	7
63.5	42020	12	92.3	20	5
36.5	16235	7	32.3	12	2
80.3	97684	18	63.5	16	3
44.7	97684	12	76.4	19	2
87.9	42020	16	82.7	16	3
36.5	17954	10	33.6	15	3
53.2	16235	13	53.7	16	2
63.5	97684	16	79.8	20	3
63.5	97684	16	81	16	2
34.2	42020	7	36.5	14	2
26.7	34380	12	79.8	17	3
86	28650	16	36.1	16	2
36.5	28650	8	44.7	12	4
63.5	24830	18	76.4	18	5
53.1	24830	12	50.7	13	6
41.3	17954	15	37	14	1
64.1	42020	12	63.5	16	2
45.8	24830	8	35.4	11	2
32.7	42020	12	88.8	17	1
49.9	34380	12	68.1	15	3
33.9	34380	13	60.5	12	2
63.5	28650	14	76.4	16	3
87.9	24830	16	64.1	16	2
85.1	42020	18	73.6	16	2
73.3	42020	18	83.9	17	3
86.8	10505	18	32.3	14	4
32.7	34380	9	30.4	13	2
29.4	21010	10	35.1	12	5
78.7	34380	19	85.1	19	2
48.6	42020	10	50.7	12	1
29.2	42020	12	50.7	14	3
38.4	14325	10	33.3	12	9
31.5	21010	8	38.5	12	2
33.4	4966	12	36.4	12	2
38.2	42020	10	63.5	12	3
55.3	21010	12	31.5	12	2
31.5	21010	9	63.2	12	1
35.7	34380	11	47	12	3
92.3	24830	19	76.3	16	1
51	21010	9	29.2	12	4
29.6	6876	12	29.3	16	1
38.1	24830	14	44.7	16	3
39	8595	12	73.3	16	6
85.1	42020	18	87.2	20	3
33.6	17954	13	51.9	12	2
27.7	16235	12	42.2	11	1
63.5	97684	16	63.5	16	5
50.7	10505	12	26.5	12	5
32.7	51570	12	21.2	16	6
88.8	51570	16	82.7	19	1
64.1	17954	14	67	14	2
32	28650	8	62.1	12	0
31.9	21010	4	33.6	10	4
85.8	17954	16	36.5	17	2
42.5	21010	12	42.5	12	2
67	34380	15	64.2	14	4
80.3	10505	16	92.3	20	3
48.5	16235	12	35.4	12	3
44.7	8595	12	62.5	16	5
26.7	34380	6	86.5	16	1
85.1	21010	18	71.6	18	2
43.2	34380	8	47	14	1
38.4	97684	12	90.3	20	1
30.1	51570	12	30.1	12	4
32.3	16235	11	28.4	13	1
63.5	28650	14	75.2	20	4
63.5	6876	8	28.6	12	5
45.4	24830	10	80.3	16	3
32	21010	12	86.8	17	1
48.5	14325	13	63.5	14	2
73.8	51570	16	65.8	18	2
64.1	28650	16	43.2	13	2
80	34380	14	31.4	13	3
52.3	16235	8	37.8	12	6
64.2	14325	12	50.7	14	3
30.8	34380	12	53.9	13	2
34.2	2674	12	50.3	15	3
63.5	28650	12	49.6	15	0
50.7	28650	12	83.9	16	3
66.1	97684	12	64.1	16	0
63.5	34380	12	63.5	17	5
31.5	24830	12	31.5	12	1
52.4	16235	10	31.4	12	1
31.5	97684	12	34.2	12	1
37.3	8595	12	72.5	16	7
65.8	97684	16	86.8	19	1
64.1	34380	14	63.5	16	2
27.4	42020	4	40.5	12	3
48.9	4202	12	38.1	14	3
34.2	28650	14	63.5	12	6
63.5	14325	12	63.5	12	6
27.5	24830	12	37.6	13	5
48.5	16235	9	58.8	12	1
33.9	34380	8	38.1	12	4
31.5	24830	6	28.6	12	7
35.7	1528	12	63.2	12	2
39	17954	10	53.4	13	3
50.3	21010	12	64.8	12	2
48.6	24830	16	86.5	16	1
29.2	21010	8	29.4	12	3
29.2	21010	12	25.8	12	2
32.3	21010	12	44.7	13	3
55.1	3438	12	76.4	16	2
32.7	28650	11	38.1	14	1
49.6	17954	12	50.2	15	2
63.5	4202	12	50.7	12	1
39.5	97684	12	92.3	19	7
92.3	34380	18	54.7	16	7
58.8	24830	12	33.2	12	3
32.3	34380	12	67	12	2
63.5	42020	12	62.2	16	1
45.8	24830	7	80.3	16	6
50.7	24830	10	39	12	3
31.5	21010	12	39	12	1
76.4	97684	14	83.7	14	3
28.6	34380	7	38.2	14	1
38	17954	12	60.5	14	2
48.9	92692	16	60.6	15	5
26.7	11781	8	53.7	12	2
59.9	27188	16	60.6	13	3
29.4	48938	14	76.4	16	3
86.8	39875	16	38.1	12	3
63.5	23563	8	32	16	4
38	92692	12	74.4	20	2
28.6	92692	8	63.5	16	3
86	32625	20	32.3	12	1
63.5	23563	12	28.6	12	2
97.2	92692	20	52.5	16	6
32.3	17038	12	52.5	17	2
63.5	13594	13	40.2	17	5
63.2	48938	14	53.1	14	2
63.5	27188	16	28.6	13	8
78.5	3988	16	45.3	12	1
38.2	19938	11	28.6	14	2
45.2	48938	12	48.9	13	3
62.1	39875	12	32.7	12	0
81	17038	8	28.4	12	8
83.7	17038	16	31.2	16	1
65.8	92692	14	83.7	17	3
80.3	27188	20	80.3	18	3
24.6	39875	0	31.5	12	31
35.7	13594	12	67	16	2
92.8	39875	16	38.1	13	4
53.1	17038	12	33.1	15	2
65.8	23563	13	59.1	17	6
32.3	32625	12	45.9	17	1
73.6	39875	14	29.2	16	2
31.5	15406	10	50.7	12	5
44.2	23563	8	63.5	16	2
29.8	23563	11	63.5	12	2
45.9	32625	12	45.9	13	1
64.1	15406	12	63.5	18	7
34.2	19938	6	65.8	18	6
63.5	15406	20	32.3	13	4
80	27188	12	36.5	12	2
64.1	32625	18	87.9	16	3
85.1	32625	18	63.5	16	3
63.5	23563	20	28.4	12	5
97.2	92692	20	81	16	4
46.8	92692	12	73.6	16	1
47.8	27188	11	47.8	16	3
50.7	19938	8	63.5	12	2
36.5	92692	9	63.5	12	7
20.1	23563	12	25.2	10	4
28.6	23563	10	31.4	11	3
29.2	27188	12	38.2	14	2
66.1	92692	12	80	16	2
65.8	48938	16	63.5	16	0
63.5	23563	12	48.5	12	1
35.4	32625	12	29.8	12	3
50.7	11781	10	36.4	12	2
63.5	32625	4	87.9	14	4
80.3	92692	18	97.2	20	2
92.9	92692	20	92.3	20	2
69.7	23563	12	62.5	16	1
66.1	13594	12	31.5	12	2
36.4	19938	8	31.4	12	3
63.5	32625	12	38.9	12	3
74.9	39875	16	38.1	12	2
63.5	39875	12	48.5	12	3
67	92692	13	52.4	16	7
86.6	92692	16	76.3	18	5
50.7	92692	8	97.2	20	2
49.6	23563	16	64.2	14	3
63.5	39875	20	43.3	18	5
30.4	13594	11	33.6	12	1
49.6	27188	12	86	15	2
63.5	39875	10	50.7	15	1
33.1	39875	12	45.3	14	1
92.3	27188	17	73.3	17	3
44.7	32625	8	35.4	12	5
28.6	39875	12	29.4	12	5
32	39875	9	26.7	14	1
26.7	17038	12	33.6	12	1
64.1	32625	14	73.3	16	2
38.2	27188	12	37.3	12	2
29.8	92692	12	38.2	15	1
63.5	92692	14	59.3	18	6
63.5	92692	10	92.3	19	21
47.8	48938	14	49.6	14	2
63.5	92692	8	49.6	12	5
32.3	48938	12	48.6	17	3
35.4	11781	5	28.6	12	1
63.5	19938	12	64.8	15	4
29.4	27188	10	63.2	13	2
33.2	17038	12	63.5	11	3
50.5	32625	12	44.7	12	2
53.4	92692	12	61.9	12	1
76.4	92692	16	63.5	16	3
50.2	23563	12	33.6	12	3
63.5	48938	12	74.4	17	1
73.3	1450	12	31.4	16	2
80	23563	16	63.5	14	1
50.3	32625	14	84.7	16	3
86.6	27188	16	45.8	12	3
51.9	39875	12	62.5	18	1
44.7	27188	12	39	12	2
63.5	19938	12	63.2	17	3
63.2	19938	11	50.7	12	2
63.5	23563	9	50.7	12	3
38.1	32625	12	38.1	12	5
45.4	27188	10	80.3	16	3
31.4	15406	12	28.4	12	3
31.4	19938	8	36.5	12	13
32.7	92692	12	63.5	12	7
36.5	15406	10	32.3	12	6
36.5	32625	8	80.9	18	3
32.3	23563	8	28.6	14	2
62	9969	16	66.1	12	1
87	27188	12	97.2	16	0
66.1	48938	14	48.5	12	2
86.5	32625	17	88.2	16	3
93.1	15406	12	63.5	17	4
69.7	15406	16	82.7	18	2
49.6	15406	13	63.5	12	3
63.5	92692	14	76.3	16	5
93.3	6525	16	43.4	16	3
86	27188	16	56.5	12	2
52.5	9969	12	28.6	11	6
63.5	8156	14	72.5	14	1
78.5	23563	17	29.5	14	2
32.3	32625	8	86.6	18	3
93.3	32625	20	93.3	18	0
31.5	23563	12	32.3	12	1
32.3	23563	9	38.1	12	3
63.5	48938	14	58.8	14	2
62.1	9969	13	50.7	17	3
29.8	19938	10	62.1	14	1
29.5	39875	12	36.5	13	4
61.9	23563	16	45.8	14	9
88.2	11781	14	29.3	12	4
60.3	19938	13	48.9	16	4
50.3	23563	12	37.3	12	4
73.9	19938	14	73.9	18	2
69.7	32625	8	43.2	14	1
38	92692	16	96	20	2
45.3	15406	12	80.3	16	2
80	39875	13	80	17	5
28.2	23563	12	36.5	12	0
32.3	19938	12	32.1	12	2
31.5	17038	8	66.1	13	0
80.3	23563	18	45.9	17	4
86.8	23563	16	80.3	17	2
24.2	6525	6	32.3	8	7
78.5	27188	16	36.5	14	1
48.5	39875	12	85.1	18	3
62.1	48938	14	49.6	12	4
62	17038	14	62	16	2
80.3	32625	16	36.5	14	2
64.1	23563	12	26.9	12	4
69.7	23563	16	50.7	14	2
30.5	6525	12	51	12	6
97.2	13594	20	56.5	15	3
86.6	48938	18	92.3	19	3
38.2	2538	12	38.1	11	3
48.8	56842	12	78.7	12	2
60.5	31005	14	54.9	12	2
50.7	150054	15	73.6	16	3
38.9	31005	16	50.3	14	1
64.1	14641	16	28.4	14	0
39.4	5167	0	37.3	14	3
86.5	56842	9	37.3	12	2
39.4	56842	12	48.5	12	3
29.3	22392	6	32.4	13	6
86.6	46507	12	29.4	12	4
86	31005	12	38.1	12	2
97.2	37895	20	73.2	14	3
59	150054	12	67	16	5
86.6	25837	17	76.3	16	3
32.7	56842	12	63.5	18	3
63.5	46507	12	56.5	18	6
34.2	9473	8	31.5	17	5
68.1	31005	17	39	14	3
48.6	31005	14	76.4	17	7
65.8	150054	16	73.3	16	5
43.3	37895	15	48.5	15	4
38.2	31005	8	84.2	20	1
65.2	46507	16	83.9	17	3
80.3	18947	16	53.2	14	3
63.5	56842	16	48.5	16	6
22.7	68900	0	63.5	12	4
63.5	25837	16	22.9	16	4
45.3	3789	14	64.2	14	2
49.6	37895	16	31.4	17	3
36.5	9473	4	69.2	17	1
48.9	68900	12	63.5	12	2
48.5	46507	14	34.2	14	4
39	22392	10	44.7	14	1
28.4	5167	16	33.3	12	4
45.8	31005	12	53.9	13	2
36.4	37895	12	63.5	12	1
34.2	150054	8	81	18	2
38	31005	12	86	16	5
32.7	37895	12	43.2	12	3
85.1	37895	14	84.2	20	1
76.4	46507	16	63.5	16	5
50.7	150054	16	63.5	16	2
73.3	56842	16	89.2	17	3
76.3	25837	14	76.3	14	4
97.2	56842	20	63.5	19	4
97.2	150054	20	97.2	20	1
97.2	150054	20	97.2	20	2
26.7	31005	7	85.1	20	3
26.7	2411	3	29.4	3	3
29.4	18947	12	26.4	12	3
63.5	22392	16	25.8	11	1
60.5	18947	12	33.2	14	6
81	18947	12	67	16	2
34.2	37895	14	76.3	14	3
80.3	22392	20	83.9	12	3
26.9	9473	8	32.4	13	3
26.7	22392	8	27.7	12	5
86.5	56842	16	87.9	16	1
45.3	2411	14	63.5	12	4
78.5	150054	19	80	19	2
45.2	16363	12	31.3	16	4
60.5	16363	12	63.5	16	4
38.2	22392	10	31.5	13	2
42.2	22392	12	32.3	12	4
26.6	25837	5	39	11	5
32.3	14641	3	32.3	15	3
34.2	18947	12	38.9	16	2
32.3	11196	12	29.2	12	4
53.9	11196	12	34.2	12	5
64.1	11196	11	73.2	16	10
26.4	37895	14	36.5	12	3
44.7	14641	14	38.1	14	3
62	37895	12	50.7	14	1
63.2	18947	10	72	12	4
48.5	16363	12	28.4	12	2
88.6	16363	16	25.8	16	1
63.5	25837	14	78.5	19	4
80	16363	20	50.5	16	4
52.5	31005	12	32.3	12	3
63.5	18947	14	63.5	16	1
80	14641	15	60.5	16	5
92.3	16363	17	31.5	12	2
63.5	18947	11	62.1	12	1
50.7	9473	10	50.7	13	1
73.6	37895	16	70	12	2
64.1	14641	16	43.4	16	6
29.2	22392	12	69.2	20	3
38.8	16363	12	28.6	12	4
86.5	37895	12	61.9	16	2
86.6	22392	12	32.4	14	2
31.5	31005	10	86	18	1
48.9	37895	14	63.5	14	2
28.6	37895	12	73.6	16	1
69.7	150054	18	64.2	19	2
38.2	16363	9	31.3	12	3
34.2	46507	10	76.3	12	4
63.5	46507	12	85.1	12	4
92.3	31005	18	52.4	14	4
63.5	1378	5	30.1	13	1
52.4	12918	12	34.2	12	2
29.2	31005	9	27.7	11	4
26.7	37895	11	28.6	13	2
78.5	5167	18	28.6	13	2
38.1	31005	4	48.5	14	15
63.2	12918	16	61.1	13	2
31.5	56842	12	37.3	14	3
86.8	56842	16	63.5	17	9
72	46507	16	93.3	18	3
92.3	16363	16	26.7	12	1
29.8	31005	12	70.5	15	3
55.3	25837	14	33.9	14	4
60.6	37895	12	48.6	16	0
32.3	31005	8	60.5	14	4
36.5	37895	12	83.7	17	3
73.6	25837	16	73.3	18	1
38.9	22392	12	50.7	12	3
73.6	150054	16	64.1	14	2
63.5	18947	12	50.7	13	1
39	18947	12	66.1	14	1
31.4	11196	12	50.3	13	2
63.5	14641	16	36.5	12	1
37.8	16363	10	32.3	9	6
32.3	150054	12	73.3	18	5
63.5	22392	12	31.5	11	3
33.9	22392	16	37.3	16	2
50.7	68900	16	63.5	16	2
27.5	31005	12	34.2	12	1
37.8	7751	8	39	16	4
30.1	18947	12	34.2	12	3
50.7	46507	12	54.7	16	2
31.4	16363	12	63.2	15	8
85.1	9473	14	62.5	16	1
38.2	22392	12	86.8	11	3
50.7	18947	16	63.5	16	2
78.5	6201	16	39.4	11	3
38.1	37895	7	60.5	16	2
39.4	37895	12	86	20	2
48.5	46507	12	38.1	12	6
75.2	31005	16	53.9	13	3
63.5	2411	14	64.8	16	6
62.5	22392	14	44.7	12	2
29.6	31005	11	76.3	12	3
39	37895	12	63.5	11	2
33.5	31005	8	48.5	12	12
32	12918	14	48.5	14	1
38.1	18947	8	38.2	15	7
28.4	14641	8	31.5	12	3
29.4	25837	4	33.4	12	4
43.3	7751	11	73.9	16	2
33.1	25837	11	38.2	10	1
33.6	12918	12	26.5	12	3
63.2	25837	10	44.7	12	3
73.3	31005	16	80	16	1
29.5	14641	16	26.7	14	3
37.8	14641	8	31.5	12	2
49.6	37895	8	86.6	14	4
46.8	31005	12	31.5	12	1
50.7	14641	12	61.1	13	4
26.7	37895	7	27.7	12	4
62.2	31005	14	62.2	14	6
